country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,high_tech,2006,2007,2008,2009,2010,2011
Burundi,,,,,,0.040585914,1.063410386,0.196872991,,,1.488598773,0.331964263,0.029389169,2.413168476,22.34362413,12.08864189,5.874200279,4.192780562,3.138245956,2.164699349,7.515000867,11.53697767,8.495655195,
Cambodia,,,,,,,,,,,,,0.082465588,0.066884002,0.175489734,0.344233419,0.154684073,0.120820123,0.028281858,0.043190324,0.077055297,0.177519817,0.087505489,
Cameroon,,,3.187747137,,,,,2.628889245,1.758722564,1.034814543,,,1.388853815,1.376443863,1.058652046,2.859435319,2.062836394,2.207316996,2.735688879,2.929124529,1.966573779,2.540102343,4.868796738,
Canada,10.79141558,12.05035161,13.75593582,15.9147325,14.89629768,13.93698098,13.81223138,14.98592861,15.82917166,15.54943269,15.55952168,14.95138062,18.72534481,16.64650348,14.19283221,13.72987327,12.09374088,13.08441299,13.34499585,12.75221945,13.60045257,16.22380055,14.03698967,
Cape Verde,,,,,,,,,,0,3.555472843,5.910202678,0.815615961,0.927467757,0.029811443,,,0.003011483,0,0,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,0.893538539,0.244925744,0.456537282,0.330858669,0.370790448,0.298927225,0.157223779,0.082664695,1.300085688,0.047032434,0.113157249,0.235889745,0.045998672,0.252900305,0.749160201,0.05823288,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,4.682247302,1.991528221,2.366165451,2.379427211,2.147470475,3.339689635,3.66048991,3.327845316,3.672549683,3.23902037,3.406050313,3.17811683,3.777844265,3.508591914,5.017633695,6.423699174,6.379933113,6.481696202,4.893834569,3.397556992,5.484139271,
China,,,,,6.435049262,7.094824898,8.291803292,10.4318147,12.41712404,13.12418003,15.3563988,17.19960392,18.9843797,20.95651527,23.66571478,27.37925315,30.06445872,30.84359799,30.51443157,26.66237275,25.56531104,27.53404158,27.51270427,
Colombia,,,,5.223920849,6.861886741,5.862064152,5.710056223,6.671060595,7.743427063,8.02107313,8.776844408,8.180491498,7.740420729,7.211090466,7.17301452,6.615023429,5.694387942,4.991174748,4.075887763,2.909197078,3.723762877,5.220021659,5.056319809,
Comoros,,,,,,,,0.782331006,0.09143771,4.732323008,1.147054849,,0.498572589,2.194016127,1.323836609,25.2062661,0.076382011,0.074790752,0.626740546,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,5.050453901,16.04296974,12.76702264,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,5.670898766,6.201086226,4.20282767,13.20314479,43.71322979,63.40367378,51.71385492,36.39522489,36.58186828,44.81794394,35.7148192,38.02692246,44.71990369,45.37415403,39.42621181,44.18050683,39.97234195,
Cote d'Ivoire,,,,,,,,2.797256252,1.92022919,5.994908591,4.462945119,7.647873459,2.865012369,3.261764964,2.399809007,3.812376911,13.20956002,11.55255384,14.1789014,12.719222,11.85987579,8.22725181,,
Croatia,,,,,5.504302584,4.912292889,5.233559566,6.118035295,7.628570194,9.556593378,7.85679063,8.276436396,8.681440523,10.25480125,12.15195096,12.24589812,13.01556115,11.39541667,9.853389544,8.208448199,8.354492204,9.756838991,9.150102229,
Cuba,,,,,,,,,,,,23.00186427,21.4300928,29.55713005,34.64332591,17.34534628,11.82726371,18.3428365,35.34721092,,,,,
Cyprus,,3.620814415,4.444328745,4.087831681,4.129772398,3.158245834,3.43399583,4.211747811,5.29925584,2.944598049,3.212854242,3.152078682,1.673148136,2.028403785,1.794311775,3.893275526,8.578207245,16.97179651,22.73060398,29.37188247,30.44966444,30.85646915,37.11909465,
Czech Rep.,,,,,,4.163677452,4.65321627,6.025683604,7.533083244,8.059601342,8.516230117,8.691232519,8.486691671,10.05276139,14.54944751,13.52488308,13.19135196,12.95303787,14.3196,13.23687604,13.55655373,14.56374762,15.30313609,
Denmark,13.45060886,14.61325008,15.53672912,15.04018113,14.83451181,15.15305908,16.78320047,15.99296514,16.88849667,18.42618596,18.22871043,19.9853287,21.43657116,20.82227807,22.45632012,20.19696105,20.31240864,22.50743734,19.9326723,16.7869318,15.57597264,17.69546483,14.20978283,
Djibouti,,,,,,,,,,,,,,,,,,,,,,0.0815999,,
Dominica,,,,,,1.782966567,0.807039077,1.706505318,2.512157287,6.097494441,,4.35942189,6.534681264,6.389829183,7.691907053,7.217966546,7.904899179,7.482304577,7.741284235,6.181840166,0.449232162,0,0.014970181,
Dominican Rep.,,,,,,,,,0.259036131,0.329375045,,,,1.316602965,4.056278109,3.738553619,4.018963859,8.403702123,5.580899063,13.66508575,5.332250931,2.754450506,2.946220267,
Ecuador,,,0.319342187,0.948887633,3.409286657,3.553065922,3.624780618,5.984920671,4.334294002,4.466851313,4.488992277,6.322603832,5.616505319,4.596215134,6.637223456,5.984557665,7.361716768,7.658579893,7.874568789,6.167897261,3.721286731,3.934139976,8.427203622,
Egypt,,,,,,,0.408099015,0.535078464,0.64408415,0.274283278,0.222071782,0.266107648,0.309977486,0.903013999,0.776960676,0.532870974,0.576914413,0.40261152,0.553999986,0.190126405,0.971248545,0.835874212,0.876451032,
El Salvador,,,,,,,6.971188555,7.605502975,7.928847815,7.727272093,7.784553805,6.568936637,3.483351692,4.648381745,5.476222145,5.118348317,4.395767,4.34073992,4.422579757,4.530068404,4.268698339,4.988330618,5.779177131,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,0,0,,18.21388577,,,,,,,,
Estonia,,,,,,,,6.19899916,8.848114633,9.131262925,11.69820107,13.49890414,29.9304493,19.28104368,11.86431239,12.65710496,13.99565801,14.66002177,12.62826088,5.801621676,5.401508192,5.679785009,9.145042194,
